Year,Gasoline Price ($/gallon),Inflation Adjuster,Gasoline Price (2021 $/gallon)
1950,$0.27 ,11.46 ,$3.07 
1951,$0.27 ,10.60 ,$2.88 
1952,$0.27 ,10.16 ,$2.78 
1953,$0.29 ,10.12 ,$2.90 
1954,$0.29 ,10.01 ,$2.90 
1955,$0.29 ,10.08 ,$2.93 
1956,$0.30 ,10.04 ,$3.00 
1957,$0.31 ,9.75 ,$3.02 
1958,$0.30 ,9.41 ,$2.86 
1959,$0.31 ,9.28 ,$2.83 
1960,$0.31 ,9.19 ,$2.86 
1961,$0.31 ,9.03 ,$2.78 
1962,$0.31 ,8.97 ,$2.74 
1963,$0.30 ,8.86 ,$2.69 
1964,$0.30 ,8.71 ,$2.65 
1965,$0.31 ,8.63 ,$2.69 
1966,$0.32 ,8.47 ,$2.72 
1967,$0.33 ,8.18 ,$2.72 
1968,$0.34 ,7.89 ,$2.66 
1969,$0.35 ,7.56 ,$2.63 
1970,$0.36 ,7.12 ,$2.54 
1971,$0.36 ,6.76 ,$2.46 
1972,$0.36 ,6.55 ,$2.36 
1973,$0.39 ,6.32 ,$2.45 
1974,$0.53 ,5.78 ,$3.07 
1975,$0.57 ,5.17 ,$2.93 
1976,$0.61 ,4.84 ,$2.97 
1977,$0.66 ,4.60 ,$3.02 
1978,$0.67 ,4.31 ,$2.89 
1979,$0.90 ,3.94 ,$3.56 
1980,$1.25 ,3.46 ,$4.31 
1981,$1.38 ,3.09 ,$4.26 
1982,$1.30 ,2.85 ,$3.69 
1983,$1.24 ,2.75 ,$3.41 
1984,$1.21 ,2.64 ,$3.20 
1985,$1.20 ,2.55 ,$3.07 
1986,$0.93 ,2.46 ,$2.28 
1987,$0.95 ,2.42 ,$2.29 
1988,$0.95 ,2.33 ,$2.20 
1989,$1.02 ,2.22 ,$2.27 
1990,$1.16 ,2.11 ,$2.46 
1991,$1.14 ,2.00 ,$2.28 
1992,$1.13 ,1.95 ,$2.20 
1993,$1.11 ,1.89 ,$2.09 
1994,$1.11 ,1.84 ,$2.05 
1995,$1.15 ,1.79 ,$2.05 
1996,$1.23 ,1.74 ,$2.14 
1997,$1.23 ,1.69 ,$2.09 
1998,$1.06 ,1.67 ,$1.77 
1999,$1.17 ,1.64 ,$1.91 
2000,$1.51 ,1.59 ,$2.40 
2001,$1.46 ,1.54 ,$2.25 
2002,$1.36 ,1.52 ,$2.06 
2003,$1.59 ,1.48 ,$2.35 
2004,$1.88 ,1.45 ,$2.73 
2005,$2.30 ,1.41 ,$3.24 
2006,$2.59 ,1.36 ,$3.52 
2007,$2.80 ,1.33 ,$3.73 
2008,$3.27 ,1.28 ,$4.18 
2009,$2.35 ,1.27 ,$2.98 
2010,$2.79 ,1.24 ,$3.46 
2011,$3.53 ,1.22 ,$4.30 
2012,$3.64 ,1.19 ,$4.34 
2013,$3.53 ,1.17 ,$4.13 
2014,$3.37 ,1.15 ,$3.87 
2015,$2.45 ,1.15 ,$2.82 
2016,$2.14 ,1.14 ,$2.44 
2017,$2.41 ,1.11 ,$2.67 
2018,$2.74 ,1.09 ,$2.74 
2019,$2.64 ,1.07 ,$2.82 
2020,$2.17 ,1.04 ,$2.26 
2021,$3.05 ,1.00 ,$3.05 
